date,home,away,FTR,home_score,away_score,h_fouls,h_yellow_cards,h_red_cards,h_off_sides,h_corners,h_saves,a_fouls,a_yellow_cards,a_red_cards,a_off_sides,a_corners,a_saves
sbado 12 agosto,Monterrey,Guadalajara,H,4,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 12 agosto,Pachuca,U.A.N.L,H,2,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 12 agosto,Necaxa,Len,A,0,3,15,4,0,1,6,1,8,0,0,1,3,2
domingo 20 agosto,Toluca,Necaxa,D,0,0,18,2,0,2,6,4,24,2,0,0,3,3
sbado 15 abril,Chiapas,Tijuana,A,1,2,5,0,0,3,10,1,13,1,0,2,4,4
sbado 15 abril,Atlas,Santos,D,1,1,10,1,0,0,8,4,9,2,0,0,2,3
sbado 15 abril,Morelia,Len,A,1,2,13,2,0,0,7,1,17,4,1,2,4,3
sbado 15 abril,U.A.N.L,Pumas UNAM,H,4,0,13,1,0,4,4,9,10,3,0,3,3,4
sbado 15 abril,Veracruz,Necaxa,A,0,1,12,1,0,2,10,4,11,1,0,1,1,5
sbado 15 abril,Pachuca,Guadalajara,D,0,0,12,2,0,2,9,1,11,3,1,0,8,7
sbado 15 abril,Amrica,Quertaro,H,1,0,13,1,0,7,4,5,13,1,0,0,4,2
viernes 21 abril,Tijuana,Toluca,H,2,0,10,2,0,0,4,1,10,1,0,2,7,7
jueves 18 mayo,Toluca,Guadalajara,D,1,1,18,2,0,2,5,4,14,1,0,3,4,5
jueves 18 mayo,U.A.N.L,Tijuana,H,2,0,14,3,0,2,4,0,8,1,0,3,1,5
domingo 19 marzo,Pumas UNAM,Amrica,A,2,3,0,0,0,0,0,0,0,0,0,0,0,0
domingo 19 marzo,Puebla,Morelia,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 28 enero,Quertaro,Guadalajara,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 28 enero,Atlas,Morelia,H,3,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 28 enero,Monterrey,Len,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 28 enero,Pachuca,Toluca,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 28 enero,Amrica,Veracruz,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 22 abril,Cruz Azul,Guadalajara,H,2,1,16,4,0,1,6,2,8,2,1,1,2,8
sbado 22 abril,Quertaro,Chiapas,D,2,2,0,0,0,0,0,0,0,0,0,0,0,0
sbado 22 abril,Atlas,Pachuca,H,1,0,16,3,0,0,3,2,12,3,0,2,5,2
sbado 22 abril,Monterrey,U.A.N.L,H,1,0,15,3,0,2,1,1,15,5,0,1,4,3
sbado 22 abril,Len,Puebla,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 22 abril,Necaxa,Morelia,H,2,1,0,0,0,0,0,0,0,0,0,0,0,0
mircoles 23 agosto,Amrica,U.A.N.L,D,2,2,18,2,0,1,6,3,15,2,0,1,4,4
mircoles 23 agosto,Puebla,Len,A,0,1,10,1,0,0,9,2,19,3,0,1,5,4
mircoles 23 agosto,Santos,Guadalajara,D,1,1,19,4,0,1,8,2,12,2,0,2,2,6
mircoles 23 agosto,Monterrey,Toluca,H,4,1,19,1,0,4,4,1,14,2,1,1,1,2
